record_id,model_score,recommended_action,decision_rationale,risk_band,expected_cost_if_monitor,expected_cost_if_inspect,expected_decision_cost,champion_model,cost_equivalence_threshold,validation_cost_threshold,high_risk_threshold
OP_0023,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0024,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0025,0.000359,A0: Continue monitoring,Failure probability 0.0004 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.1793,9.9964,0.1793,Extra Trees,0.019608,0.07,0.33
OP_0026,0.041465,A1: Schedule inspection,"Failure probability 0.0415 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,20.7323,9.5854,9.5854,Extra Trees,0.019608,0.07,0.33
OP_0027,2.1e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0104,9.9998,0.0104,Extra Trees,0.019608,0.07,0.33
OP_0028,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0029,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0030,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0031,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0032,0.002527,A0: Continue monitoring,Failure probability 0.0025 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.2634,9.9747,1.2634,Extra Trees,0.019608,0.07,0.33
OP_0033,0.000201,A0: Continue monitoring,Failure probability 0.0002 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.1003,9.998,0.1003,Extra Trees,0.019608,0.07,0.33
OP_0034,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0035,0.007718,A0: Continue monitoring,Failure probability 0.0077 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,3.859,9.9228,3.859,Extra Trees,0.019608,0.07,0.33
OP_0036,0.000542,A0: Continue monitoring,Failure probability 0.0005 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.2712,9.9946,0.2712,Extra Trees,0.019608,0.07,0.33
OP_0037,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0038,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0039,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0040,0.0075,A0: Continue monitoring,Failure probability 0.0075 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,3.75,9.925,3.75,Extra Trees,0.019608,0.07,0.33
OP_0041,0.000106,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0529,9.9989,0.0529,Extra Trees,0.019608,0.07,0.33
OP_0042,0.000814,A0: Continue monitoring,Failure probability 0.0008 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.407,9.9919,0.407,Extra Trees,0.019608,0.07,0.33
OP_0043,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0044,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0045,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0046,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0047,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0048,0.000923,A0: Continue monitoring,Failure probability 0.0009 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.4615,9.9908,0.4615,Extra Trees,0.019608,0.07,0.33
OP_0049,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0050,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0051,0.420357,A2: Immediate intervention / safety escalation,Failure probability 0.4204 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,210.1786,5.7964,5.7964,Extra Trees,0.019608,0.07,0.33
OP_0052,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0053,1.5e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0077,9.9998,0.0077,Extra Trees,0.019608,0.07,0.33
OP_0054,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0055,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0056,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0057,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0058,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0059,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0060,0.000372,A0: Continue monitoring,Failure probability 0.0004 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.1858,9.9963,0.1858,Extra Trees,0.019608,0.07,0.33
OP_0061,9e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0044,9.9999,0.0044,Extra Trees,0.019608,0.07,0.33
OP_0062,0.015706,A0: Continue monitoring,Failure probability 0.0157 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,7.8532,9.8429,7.8532,Extra Trees,0.019608,0.07,0.33
OP_0063,0.745,A2: Immediate intervention / safety escalation,Failure probability 0.7450 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,372.5,2.55,2.55,Extra Trees,0.019608,0.07,0.33
OP_0064,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0065,0.020248,A1: Schedule inspection,"Failure probability 0.0202 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,10.1239,9.7975,9.7975,Extra Trees,0.019608,0.07,0.33
OP_0066,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0067,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0068,0.000746,A0: Continue monitoring,Failure probability 0.0007 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.3731,9.9925,0.3731,Extra Trees,0.019608,0.07,0.33
OP_0069,9e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0044,9.9999,0.0044,Extra Trees,0.019608,0.07,0.33
OP_0070,0.000855,A0: Continue monitoring,Failure probability 0.0009 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.4276,9.9914,0.4276,Extra Trees,0.019608,0.07,0.33
OP_0071,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0072,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0073,0.001352,A0: Continue monitoring,Failure probability 0.0014 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.6759,9.9865,0.6759,Extra Trees,0.019608,0.07,0.33
OP_0074,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0075,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0076,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0077,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0078,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0079,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0080,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0081,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0082,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0083,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0084,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0085,0.001495,A0: Continue monitoring,Failure probability 0.0015 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.7475,9.9851,0.7475,Extra Trees,0.019608,0.07,0.33
OP_0086,0.8875,A2: Immediate intervention / safety escalation,Failure probability 0.8875 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,443.75,1.125,1.125,Extra Trees,0.019608,0.07,0.33
OP_0087,0.002022,A0: Continue monitoring,Failure probability 0.0020 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.0109,9.9798,1.0109,Extra Trees,0.019608,0.07,0.33
OP_0088,0.01399,A0: Continue monitoring,Failure probability 0.0140 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,6.9952,9.8601,6.9952,Extra Trees,0.019608,0.07,0.33
OP_0089,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0090,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0091,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0092,0.240086,A1: Schedule inspection,"Failure probability 0.2401 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,120.0431,7.5991,7.5991,Extra Trees,0.019608,0.07,0.33
OP_0093,7e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0034,9.9999,0.0034,Extra Trees,0.019608,0.07,0.33
OP_0094,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0095,0.015021,A0: Continue monitoring,Failure probability 0.0150 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,7.5104,9.8498,7.5104,Extra Trees,0.019608,0.07,0.33
OP_0096,0.000186,A0: Continue monitoring,Failure probability 0.0002 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.093,9.9981,0.093,Extra Trees,0.019608,0.07,0.33
OP_0097,0.77,A2: Immediate intervention / safety escalation,Failure probability 0.7700 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,385.0,2.3,2.3,Extra Trees,0.019608,0.07,0.33
OP_0098,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0099,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0100,0.000951,A0: Continue monitoring,Failure probability 0.0010 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.4753,9.9905,0.4753,Extra Trees,0.019608,0.07,0.33
OP_0101,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0102,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0103,0.164116,A1: Schedule inspection,"Failure probability 0.1641 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,82.0579,8.3588,8.3588,Extra Trees,0.019608,0.07,0.33
OP_0104,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0105,0.000116,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0581,9.9988,0.0581,Extra Trees,0.019608,0.07,0.33
OP_0106,1.5e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0077,9.9998,0.0077,Extra Trees,0.019608,0.07,0.33
OP_0107,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0108,0.8425,A2: Immediate intervention / safety escalation,Failure probability 0.8425 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,421.25,1.575,1.575,Extra Trees,0.019608,0.07,0.33
OP_0109,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0110,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0111,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0112,0.0025,A0: Continue monitoring,Failure probability 0.0025 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.25,9.975,1.25,Extra Trees,0.019608,0.07,0.33
OP_0113,0.407528,A2: Immediate intervention / safety escalation,Failure probability 0.4075 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,203.7642,5.9247,5.9247,Extra Trees,0.019608,0.07,0.33
OP_0114,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0115,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0116,0.000268,A0: Continue monitoring,Failure probability 0.0003 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.1342,9.9973,0.1342,Extra Trees,0.019608,0.07,0.33
OP_0117,0.000463,A0: Continue monitoring,Failure probability 0.0005 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.2314,9.9954,0.2314,Extra Trees,0.019608,0.07,0.33
OP_0118,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0119,0.000202,A0: Continue monitoring,Failure probability 0.0002 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.1008,9.998,0.1008,Extra Trees,0.019608,0.07,0.33
OP_0120,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0121,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0122,0.002536,A0: Continue monitoring,Failure probability 0.0025 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.2679,9.9746,1.2679,Extra Trees,0.019608,0.07,0.33
OP_0123,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0124,1.7e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0084,9.9998,0.0084,Extra Trees,0.019608,0.07,0.33
OP_0125,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0126,0.137142,A1: Schedule inspection,"Failure probability 0.1371 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,68.5712,8.6286,8.6286,Extra Trees,0.019608,0.07,0.33
